timestamp_local,timestamp_epoch_s,hr_bpm,rr_ms
2026-09-13 19:32:35.975,1789338755.9755223,76,789
2026-09-13 19:32:36.144,1789338756.1447773,68,882
2026-09-13 19:32:36.964,1789338756.9647772,73,820
2026-09-13 19:32:37.955,1789338757.955064,79,761
2026-09-13 19:32:38.944,1789338758.9449282,86,695
2026-09-13 19:32:39.934,1789338759.9347131,82,729
2026-09-13 19:32:40.092,1789338760.0921726,70,859
2026-09-13 19:32:40.970,1789338760.9701724,68,878
2026-09-13 19:32:42.005,1789338762.005049,76,792
2026-09-13 19:32:42.949,1789338762.949649,82,731
2026-09-13 19:32:43.984,1789338763.9847112,79,755
2026-09-13 19:32:45.020,1789338765.0200245,57,1057
2026-09-13 19:32:45.965,1789338765.9651635,57,1044
2026-09-13 19:32:46.133,1789338766.1333666,60,993
2026-09-13 19:32:46.955,1789338766.9553666,73,822
2026-09-13 19:32:48.934,1789338768.9346502,79,760
2026-09-13 19:32:49.970,1789338769.9702294,80,749
2026-09-13 19:32:51.004,1789338771.0049736,59,1014
2026-09-13 19:32:51.949,1789338771.949854,52,1161
2026-09-13 19:32:51.985,1789338771.985276,55,1085
2026-09-13 19:32:52.941,1789338772.9412758,63,956
2026-09-13 19:32:53.974,1789338773.974877,73,817
2026-09-13 19:32:54.965,1789338774.9653113,79,758
2026-09-13 19:32:55.954,1789338775.95491,75,805
2026-09-13 19:32:56.819,1789338776.8193378,50,1193
2026-09-13 19:32:57.935,1789338777.9353378,54,1116
2026-09-13 19:32:59.015,1789338779.0154521,53,1125
2026-09-13 19:32:59.959,1789338779.959646,68,877
2026-09-13 19:33:00.950,1789338780.9500136,76,789
2026-09-13 19:33:01.940,1789338781.9403267,73,821
2026-09-13 19:33:02.975,1789338782.9755735,50,1196
2026-09-13 19:33:03.965,1789338783.9653828,54,1116
2026-09-13 19:33:04.954,1789338784.954992,53,1128
2026-09-13 19:33:05.944,1789338785.9448657,71,841
2026-09-13 19:33:06.934,1789338786.9348521,78,770
2026-09-13 19:33:07.969,1789338787.969662,77,780
2026-09-13 19:33:08.960,1789338788.9603388,51,1180
2026-09-13 19:33:09.949,1789338789.9497535,55,1083
2026-09-13 19:33:10.089,1789338790.0893488,58,1041
2026-09-13 19:33:10.940,1789338790.9403489,71,851
2026-09-13 19:33:11.975,1789338791.9756858,78,769
2026-09-13 19:33:12.965,1789338792.965105,82,729
2026-09-13 19:33:13.955,1789338793.9551451,80,753
2026-09-13 19:33:14.947,1789338794.947344,55,1086
2026-09-13 19:33:15.937,1789338795.9373236,55,1100
2026-09-13 19:33:16.970,1789338796.970177,58,1042
2026-09-13 19:33:17.959,1789338797.959742,69,867
2026-09-13 19:33:18.950,1789338798.950221,76,786
2026-09-13 19:33:19.942,1789338799.9428387,76,793
2026-09-13 19:33:20.974,1789338800.974943,64,934
2026-09-13 19:33:20.981,1789338800.9811125,60,998
2026-09-13 19:33:21.965,1789338801.9651127,61,984
2026-09-13 19:33:22.955,1789338802.9550023,68,885
2026-09-13 19:33:23.945,1789338803.9453473,76,785
2026-09-13 19:33:24.935,1789338804.9356453,81,744
2026-09-13 19:33:25.970,1789338805.970057,78,771
2026-09-13 19:33:26.959,1789338806.9596405,63,954
2026-09-13 19:33:27.949,1789338807.9497926,58,1032
2026-09-13 19:33:28.070,1789338808.070985,60,996
2026-09-13 19:33:28.939,1789338808.9399848,69,869
2026-09-13 19:33:29.975,1789338809.9751267,77,777
2026-09-13 19:33:30.965,1789338810.9656925,80,752
2026-09-13 19:33:31.957,1789338811.957322,76,791
2026-09-13 19:33:32.990,1789338812.9904282,65,920
2026-09-13 19:33:33.980,1789338813.9806664,59,1010
2026-09-13 19:33:34.124,1789338814.12439,61,977
2026-09-13 19:33:34.970,1789338814.97039,71,846
2026-09-13 19:33:35.959,1789338815.9596581,78,774
2026-09-13 19:33:36.950,1789338816.9500864,80,751
2026-09-13 19:33:37.940,1789338817.9402864,73,817
2026-09-13 19:33:38.932,1789338818.9328532,62,973
2026-09-13 19:33:39.965,1789338819.965094,58,1028
2026-09-13 19:33:40.955,1789338820.955756,60,998
2026-09-13 19:33:41.945,1789338821.9454052,71,842
2026-09-13 19:33:42.170,1789338822.1706529,78,774
2026-09-13 19:33:42.935,1789338822.9356532,78,765
2026-09-13 19:33:43.974,1789338823.9741175,70,854
2026-09-13 19:33:44.960,1789338824.9602547,65,926
2026-09-13 19:33:45.950,1789338825.9500892,62,973
