timestamp_local,timestamp_epoch_s,x_mg,y_mg,z_mg
2026-09-13 19:41:41.713,1789339301.7136998,58,51,986
2026-09-13 19:41:41.733,1789339301.7336998,58,52,985
2026-09-13 19:41:41.753,1789339301.7536998,56,52,990
2026-09-13 19:41:41.773,1789339301.7736998,52,52,996
2026-09-13 19:41:41.793,1789339301.7936997,49,50,978
2026-09-13 19:41:41.813,1789339301.8136997,56,45,979
2026-09-13 19:41:41.833,1789339301.8336997,53,50,983
2026-09-13 19:41:41.853,1789339301.8537,47,49,982
2026-09-13 19:41:41.873,1789339301.8737,47,44,988
2026-09-13 19:41:41.893,1789339301.8937,50,47,990
2026-09-13 19:41:41.913,1789339301.9136999,53,51,989
2026-09-13 19:41:41.933,1789339301.9336998,50,49,985
2026-09-13 19:41:41.953,1789339301.9536998,49,51,985
2026-09-13 19:41:41.973,1789339301.9736998,49,52,986
2026-09-13 19:41:41.993,1789339301.9936998,52,51,986
2026-09-13 19:41:42.013,1789339302.0136998,54,52,984
2026-09-13 19:41:42.033,1789339302.0336998,50,47,985
2026-09-13 19:41:42.053,1789339302.0536997,47,51,989
2026-09-13 19:41:42.073,1789339302.0736997,48,54,990
2026-09-13 19:41:42.093,1789339302.0937,48,52,988
2026-09-13 19:41:42.113,1789339302.1137,53,46,990
2026-09-13 19:41:42.133,1789339302.1337,53,49,989
2026-09-13 19:41:42.153,1789339302.1536999,59,52,982
2026-09-13 19:41:42.173,1789339302.1736999,61,50,983
2026-09-13 19:41:42.193,1789339302.1936998,65,47,988
2026-09-13 19:41:42.213,1789339302.2136998,65,52,993
2026-09-13 19:41:42.233,1789339302.2336998,65,54,992
2026-09-13 19:41:42.253,1789339302.2536998,65,55,978
2026-09-13 19:41:42.273,1789339302.2736998,78,49,957
2026-09-13 19:41:42.293,1789339302.2936997,75,54,945
2026-09-13 19:41:42.313,1789339302.3136997,81,50,975
2026-09-13 19:41:42.333,1789339302.3336997,76,49,1002
2026-09-13 19:41:42.353,1789339302.3537,61,50,992
2026-09-13 19:41:42.373,1789339302.3737,62,53,975
2026-09-13 19:41:42.393,1789339302.3937,63,50,975
2026-09-13 19:41:42.413,1789339302.4136999,65,51,980
2026-09-13 19:41:42.421,1789339302.4214733,67,57,984
2026-09-13 19:41:42.441,1789339302.4414732,67,53,993
2026-09-13 19:41:42.461,1789339302.4614732,70,54,992
2026-09-13 19:41:42.481,1789339302.4814732,74,54,988
2026-09-13 19:41:42.501,1789339302.5014732,77,52,983
2026-09-13 19:41:42.521,1789339302.5214732,80,49,983
2026-09-13 19:41:42.541,1789339302.5414732,81,48,985
2026-09-13 19:41:42.561,1789339302.5614734,80,46,984
2026-09-13 19:41:42.581,1789339302.5814734,82,50,986
2026-09-13 19:41:42.601,1789339302.6014733,83,52,989
2026-09-13 19:41:42.621,1789339302.6214733,81,54,986
2026-09-13 19:41:42.641,1789339302.6414733,79,54,980
2026-09-13 19:41:42.661,1789339302.6614733,83,50,979
2026-09-13 19:41:42.681,1789339302.6814733,85,49,982
2026-09-13 19:41:42.701,1789339302.7014732,81,53,984
2026-09-13 19:41:42.721,1789339302.7214732,76,47,993
2026-09-13 19:41:42.741,1789339302.7414732,75,49,990
2026-09-13 19:41:42.761,1789339302.7614732,77,50,993
2026-09-13 19:41:42.781,1789339302.7814732,81,50,985
2026-09-13 19:41:42.801,1789339302.8014734,84,51,982
2026-09-13 19:41:42.821,1789339302.8214734,83,50,983
2026-09-13 19:41:42.841,1789339302.8414733,84,48,981
2026-09-13 19:41:42.861,1789339302.8614733,86,50,982
2026-09-13 19:41:42.881,1789339302.8814733,86,54,986
2026-09-13 19:41:42.901,1789339302.9014733,85,52,986
2026-09-13 19:41:42.921,1789339302.9214733,80,55,986
2026-09-13 19:41:42.941,1789339302.9414732,80,53,988
2026-09-13 19:41:42.961,1789339302.9614732,82,52,987
2026-09-13 19:41:42.981,1789339302.9814732,85,52,988
2026-09-13 19:41:43.001,1789339303.0014732,84,49,986
2026-09-13 19:41:43.021,1789339303.0214732,84,49,981
2026-09-13 19:41:43.041,1789339303.0414732,83,49,983
2026-09-13 19:41:43.061,1789339303.0614734,86,47,990
2026-09-13 19:41:43.081,1789339303.0814734,85,50,986
2026-09-13 19:41:43.101,1789339303.1014733,86,49,982
2026-09-13 19:41:43.121,1789339303.1214733,88,49,983
2026-09-13 19:41:43.128,1789339303.128972,86,52,970
2026-09-13 19:41:43.148,1789339303.148972,91,45,995
2026-09-13 19:41:43.168,1789339303.168972,89,47,994
2026-09-13 19:41:43.188,1789339303.188972,88,52,975
2026-09-13 19:41:43.208,1789339303.208972,92,44,971
2026-09-13 19:41:43.228,1789339303.228972,91,46,986
2026-09-13 19:41:43.248,1789339303.248972,87,51,986
2026-09-13 19:41:43.268,1789339303.2689722,87,54,989
2026-09-13 19:41:43.288,1789339303.2889721,86,53,989
2026-09-13 19:41:43.308,1789339303.3089721,87,49,987
2026-09-13 19:41:43.328,1789339303.328972,89,45,985
2026-09-13 19:41:43.348,1789339303.348972,91,49,986
2026-09-13 19:41:43.368,1789339303.368972,92,49,985
2026-09-13 19:41:43.388,1789339303.388972,93,49,985
2026-09-13 19:41:43.408,1789339303.408972,92,46,983
2026-09-13 19:41:43.428,1789339303.428972,91,47,984
2026-09-13 19:41:43.448,1789339303.448972,89,44,986
2026-09-13 19:41:43.468,1789339303.468972,87,48,989
2026-09-13 19:41:43.488,1789339303.488972,87,46,981
2026-09-13 19:41:43.508,1789339303.5089722,88,45,987
2026-09-13 19:41:43.528,1789339303.5289721,87,48,982
2026-09-13 19:41:43.548,1789339303.5489721,86,46,985
2026-09-13 19:41:43.568,1789339303.568972,88,44,990
2026-09-13 19:41:43.588,1789339303.588972,88,47,989
2026-09-13 19:41:43.608,1789339303.608972,90,49,987
2026-09-13 19:41:43.628,1789339303.628972,90,47,987
2026-09-13 19:41:43.648,1789339303.648972,91,47,980
2026-09-13 19:41:43.668,1789339303.668972,89,48,981
2026-09-13 19:41:43.688,1789339303.688972,89,49,982
2026-09-13 19:41:43.708,1789339303.708972,90,51,983
2026-09-13 19:41:43.728,1789339303.728972,89,49,985
2026-09-13 19:41:43.748,1789339303.748972,89,47,985
2026-09-13 19:41:43.768,1789339303.7689722,87,49,987
2026-09-13 19:41:43.788,1789339303.7889721,88,50,986
2026-09-13 19:41:43.808,1789339303.8089721,88,50,983
2026-09-13 19:41:43.828,1789339303.828972,89,47,984
2026-09-13 19:41:43.836,1789339303.8368065,89,45,983
2026-09-13 19:41:43.856,1789339303.8568065,89,47,985
2026-09-13 19:41:43.876,1789339303.8768065,89,47,984
2026-09-13 19:41:43.896,1789339303.8968065,90,47,983
2026-09-13 19:41:43.916,1789339303.9168065,88,47,986
2026-09-13 19:41:43.936,1789339303.9368064,87,49,988
2026-09-13 19:41:43.956,1789339303.9568064,88,51,985
2026-09-13 19:41:43.976,1789339303.9768066,89,51,984
2026-09-13 19:41:43.996,1789339303.9968066,87,50,987
2026-09-13 19:41:44.016,1789339304.0168066,82,51,975
2026-09-13 19:41:44.036,1789339304.0368066,88,48,990
2026-09-13 19:41:44.056,1789339304.0568066,88,47,995
2026-09-13 19:41:44.076,1789339304.0768065,90,50,970
2026-09-13 19:41:44.096,1789339304.0968065,93,48,970
2026-09-13 19:41:44.116,1789339304.1168065,88,43,988
2026-09-13 19:41:44.136,1789339304.1368065,76,52,994
2026-09-13 19:41:44.156,1789339304.1568065,67,53,993
2026-09-13 19:41:44.176,1789339304.1768064,77,50,983
2026-09-13 19:41:44.196,1789339304.1968064,83,50,988
2026-09-13 19:41:44.216,1789339304.2168067,83,49,997
2026-09-13 19:41:44.236,1789339304.2368066,85,49,992
2026-09-13 19:41:44.256,1789339304.2568066,86,47,987
2026-09-13 19:41:44.276,1789339304.2768066,86,48,983
2026-09-13 19:41:44.296,1789339304.2968066,86,51,984
2026-09-13 19:41:44.316,1789339304.3168066,85,51,989
2026-09-13 19:41:44.336,1789339304.3368065,82,46,990
2026-09-13 19:41:44.356,1789339304.3568065,82,46,993
2026-09-13 19:41:44.376,1789339304.3768065,77,48,976
2026-09-13 19:41:44.396,1789339304.3968065,82,41,982
2026-09-13 19:41:44.416,1789339304.4168065,73,48,982
2026-09-13 19:41:44.436,1789339304.4368064,66,51,989
2026-09-13 19:41:44.456,1789339304.4568064,70,47,993
2026-09-13 19:41:44.476,1789339304.4768066,74,45,988
2026-09-13 19:41:44.496,1789339304.4968066,79,45,989
2026-09-13 19:41:44.516,1789339304.5168066,83,49,987
2026-09-13 19:41:44.536,1789339304.5368066,81,50,980
2026-09-13 19:41:44.544,1789339304.5443053,80,49,979
2026-09-13 19:41:44.564,1789339304.5643053,79,46,986
2026-09-13 19:41:44.584,1789339304.5843053,74,51,981
2026-09-13 19:41:44.604,1789339304.6043053,75,52,983
