timestamp_local,timestamp_epoch_s,x_mg,y_mg,z_mg
2026-09-11 19:25:37.003,1789165537.0038714,-968,22,30
2026-09-11 19:25:37.023,1789165537.0238714,-969,19,41
2026-09-11 19:25:37.043,1789165537.0438714,-982,20,40
2026-09-11 19:25:37.063,1789165537.0638714,-984,24,12
2026-09-11 19:25:37.083,1789165537.0838714,-970,20,21
2026-09-11 19:25:37.103,1789165537.1038713,-969,21,37
2026-09-11 19:25:37.123,1789165537.1238713,-976,21,40
2026-09-11 19:25:37.143,1789165537.1438715,-982,18,34
2026-09-11 19:25:37.163,1789165537.1638715,-980,18,32
2026-09-11 19:25:37.183,1789165537.1838715,-975,22,30
2026-09-11 19:25:37.203,1789165537.2038715,-972,22,36
2026-09-11 19:25:37.223,1789165537.2238715,-976,21,39
2026-09-11 19:25:37.243,1789165537.2438715,-976,18,39
2026-09-11 19:25:37.263,1789165537.2638714,-974,18,38
2026-09-11 19:25:37.283,1789165537.2838714,-975,23,32
2026-09-11 19:25:37.303,1789165537.3038714,-975,20,37
2026-09-11 19:25:37.323,1789165537.3238714,-979,17,43
2026-09-11 19:25:37.343,1789165537.3438714,-983,20,40
2026-09-11 19:25:37.363,1789165537.3638713,-975,22,48
2026-09-11 19:25:37.383,1789165537.3838716,-979,21,48
2026-09-11 19:25:37.403,1789165537.4038715,-980,21,46
2026-09-11 19:25:37.423,1789165537.4238715,-977,19,44
2026-09-11 19:25:37.443,1789165537.4438715,-974,20,43
2026-09-11 19:25:37.463,1789165537.4638715,-972,18,42
2026-09-11 19:25:37.483,1789165537.4838715,-973,20,47
2026-09-11 19:25:37.503,1789165537.5038714,-975,20,49
2026-09-11 19:25:37.523,1789165537.5238714,-974,18,54
2026-09-11 19:25:37.543,1789165537.5438714,-974,19,53
2026-09-11 19:25:37.563,1789165537.5638714,-974,20,50
2026-09-11 19:25:37.583,1789165537.5838714,-974,19,55
2026-09-11 19:25:37.603,1789165537.6038713,-976,17,50
2026-09-11 19:25:37.623,1789165537.6238713,-976,18,54
2026-09-11 19:25:37.643,1789165537.6438715,-977,19,53
2026-09-11 19:25:37.663,1789165537.6638715,-976,19,59
2026-09-11 19:25:37.683,1789165537.6838715,-976,19,66
2026-09-11 19:25:37.703,1789165537.7038715,-980,20,47
2026-09-11 19:25:37.711,1789165537.7111871,-970,18,65
2026-09-11 19:25:37.731,1789165537.731187,-972,17,63
2026-09-11 19:25:37.751,1789165537.751187,-978,17,59
2026-09-11 19:25:37.771,1789165537.771187,-972,22,38
2026-09-11 19:25:37.791,1789165537.791187,-967,21,47
2026-09-11 19:25:37.811,1789165537.811187,-973,22,59
2026-09-11 19:25:37.831,1789165537.831187,-980,20,68
2026-09-11 19:25:37.851,1789165537.8511872,-983,15,71
2026-09-11 19:25:37.871,1789165537.8711872,-980,16,64
2026-09-11 19:25:37.891,1789165537.8911872,-976,19,54
2026-09-11 19:25:37.911,1789165537.9111872,-971,19,58
2026-09-11 19:25:37.931,1789165537.9311872,-975,19,62
2026-09-11 19:25:37.951,1789165537.9511871,-976,18,61
2026-09-11 19:25:37.971,1789165537.971187,-975,19,67
2026-09-11 19:25:37.991,1789165537.991187,-972,24,62
2026-09-11 19:25:38.011,1789165538.011187,-970,20,65
2026-09-11 19:25:38.031,1789165538.031187,-972,19,66
2026-09-11 19:25:38.051,1789165538.051187,-976,21,67
2026-09-11 19:25:38.071,1789165538.071187,-976,21,69
2026-09-11 19:25:38.091,1789165538.0911872,-976,18,69
2026-09-11 19:25:38.111,1789165538.1111872,-977,18,69
2026-09-11 19:25:38.131,1789165538.1311872,-978,21,63
2026-09-11 19:25:38.151,1789165538.1511872,-974,22,64
2026-09-11 19:25:38.171,1789165538.1711872,-974,20,64
2026-09-11 19:25:38.191,1789165538.1911871,-973,21,68
2026-09-11 19:25:38.211,1789165538.2111871,-972,21,64
2026-09-11 19:25:38.231,1789165538.231187,-971,22,68
2026-09-11 19:25:38.251,1789165538.251187,-975,21,74
2026-09-11 19:25:38.271,1789165538.271187,-976,21,70
2026-09-11 19:25:38.291,1789165538.291187,-974,21,70
2026-09-11 19:25:38.311,1789165538.311187,-977,20,67
2026-09-11 19:25:38.331,1789165538.331187,-972,21,62
2026-09-11 19:25:38.351,1789165538.3511872,-973,24,66
2026-09-11 19:25:38.371,1789165538.3711872,-976,23,70
2026-09-11 19:25:38.391,1789165538.3911872,-975,20,71
2026-09-11 19:25:38.411,1789165538.4111872,-975,20,78
2026-09-11 19:25:38.418,1789165538.4185638,-981,23,65
2026-09-11 19:25:38.438,1789165538.4385638,-973,21,71
2026-09-11 19:25:38.458,1789165538.4585638,-972,19,73
2026-09-11 19:25:38.478,1789165538.4785638,-971,21,78
2026-09-11 19:25:38.498,1789165538.4985638,-975,23,59
2026-09-11 19:25:38.518,1789165538.5185637,-972,20,61
2026-09-11 19:25:38.538,1789165538.5385637,-972,19,72
2026-09-11 19:25:38.558,1789165538.558564,-978,22,83
2026-09-11 19:25:38.578,1789165538.578564,-980,23,75
2026-09-11 19:25:38.598,1789165538.598564,-975,20,69
2026-09-11 19:25:38.618,1789165538.618564,-974,23,71
2026-09-11 19:25:38.638,1789165538.6385639,-971,26,73
2026-09-11 19:25:38.658,1789165538.6585639,-973,23,70
2026-09-11 19:25:38.678,1789165538.6785638,-972,22,75
2026-09-11 19:25:38.698,1789165538.6985638,-971,22,76
2026-09-11 19:25:38.718,1789165538.7185638,-975,22,66
2026-09-11 19:25:38.738,1789165538.7385638,-969,19,73
2026-09-11 19:25:38.758,1789165538.7585638,-977,19,76
2026-09-11 19:25:38.778,1789165538.7785637,-978,23,76
2026-09-11 19:25:38.798,1789165538.798564,-978,22,85
2026-09-11 19:25:38.818,1789165538.818564,-982,21,83
2026-09-11 19:25:38.838,1789165538.838564,-972,19,81
2026-09-11 19:25:38.858,1789165538.858564,-971,23,78
2026-09-11 19:25:38.878,1789165538.878564,-970,22,82
2026-09-11 19:25:38.898,1789165538.8985639,-970,22,84
2026-09-11 19:25:38.918,1789165538.9185638,-974,22,81
2026-09-11 19:25:38.938,1789165538.9385638,-977,21,84
2026-09-11 19:25:38.958,1789165538.9585638,-975,19,86
2026-09-11 19:25:38.978,1789165538.9785638,-972,20,87
2026-09-11 19:25:38.998,1789165538.9985638,-969,22,95
2026-09-11 19:25:39.018,1789165539.0185637,-969,25,96
2026-09-11 19:25:39.038,1789165539.0385637,-973,24,82
2026-09-11 19:25:39.058,1789165539.058564,-976,23,75
2026-09-11 19:25:39.078,1789165539.078564,-984,23,72
2026-09-11 19:25:39.098,1789165539.098564,-986,22,75
2026-09-11 19:25:39.118,1789165539.118564,-985,19,68
2026-09-11 19:25:39.125,1789165539.125971,-975,17,63
2026-09-11 19:25:39.145,1789165539.145971,-977,20,65
2026-09-11 19:25:39.165,1789165539.165971,-982,20,44
2026-09-11 19:25:39.185,1789165539.185971,-974,13,55
2026-09-11 19:25:39.205,1789165539.205971,-969,12,57
2026-09-11 19:25:39.225,1789165539.225971,-977,18,42
2026-09-11 19:25:39.245,1789165539.245971,-973,23,27
2026-09-11 19:25:39.265,1789165539.2659712,-972,16,39
2026-09-11 19:25:39.285,1789165539.2859712,-980,18,46
2026-09-11 19:25:39.305,1789165539.3059711,-985,21,46
2026-09-11 19:25:39.325,1789165539.3259711,-981,18,37
2026-09-11 19:25:39.345,1789165539.345971,-975,18,36
2026-09-11 19:25:39.365,1789165539.365971,-975,19,39
2026-09-11 19:25:39.385,1789165539.385971,-977,20,35
2026-09-11 19:25:39.405,1789165539.405971,-974,20,30
2026-09-11 19:25:39.425,1789165539.425971,-972,18,22
2026-09-11 19:25:39.445,1789165539.445971,-970,21,29
2026-09-11 19:25:39.465,1789165539.465971,-975,16,16
2026-09-11 19:25:39.485,1789165539.485971,-972,12,19
2026-09-11 19:25:39.505,1789165539.5059712,-978,13,24
2026-09-11 19:25:39.525,1789165539.5259712,-987,22,25
2026-09-11 19:25:39.545,1789165539.5459712,-982,19,22
2026-09-11 19:25:39.565,1789165539.5659711,-979,17,16
2026-09-11 19:25:39.585,1789165539.585971,-977,16,8
2026-09-11 19:25:39.605,1789165539.605971,-972,19,8
2026-09-11 19:25:39.625,1789165539.625971,-973,18,12
2026-09-11 19:25:39.645,1789165539.645971,-978,18,13
2026-09-11 19:25:39.665,1789165539.665971,-978,19,9
2026-09-11 19:25:39.685,1789165539.685971,-977,20,5
2026-09-11 19:25:39.705,1789165539.705971,-978,19,1
2026-09-11 19:25:39.725,1789165539.725971,-974,19,0
2026-09-11 19:25:39.745,1789165539.745971,-974,19,3
2026-09-11 19:25:39.765,1789165539.7659712,-978,18,0
2026-09-11 19:25:39.785,1789165539.7859712,-979,19,1
2026-09-11 19:25:39.805,1789165539.8059711,-976,19,8
2026-09-11 19:25:39.825,1789165539.8259711,-984,20,-2
2026-09-11 19:25:39.833,1789165539.8332257,-986,20,-18
2026-09-11 19:25:39.853,1789165539.8532257,-970,17,-12
2026-09-11 19:25:39.873,1789165539.8732257,-968,20,4
2026-09-11 19:25:39.893,1789165539.8932257,-977,21,-8
2026-09-11 19:25:39.913,1789165539.9132257,-979,18,-30
2026-09-11 19:25:39.933,1789165539.9332256,-968,14,-7
2026-09-11 19:25:39.953,1789165539.9532256,-988,19,-6
2026-09-11 19:25:39.973,1789165539.9732258,-984,21,-11
2026-09-11 19:25:39.993,1789165539.9932258,-980,20,-9
2026-09-11 19:25:40.013,1789165540.0132258,-976,17,-18
2026-09-11 19:25:40.033,1789165540.0332258,-973,20,-24
2026-09-11 19:25:40.053,1789165540.0532258,-974,21,-19
2026-09-11 19:25:40.073,1789165540.0732257,-977,20,-17
2026-09-11 19:25:40.093,1789165540.0932257,-980,18,-21
2026-09-11 19:25:40.113,1789165540.1132257,-976,19,-13
2026-09-11 19:25:40.133,1789165540.1332257,-977,21,-22
2026-09-11 19:25:40.153,1789165540.1532257,-975,18,-31
2026-09-11 19:25:40.173,1789165540.1732256,-976,17,-26
2026-09-11 19:25:40.193,1789165540.1932256,-978,22,-28
2026-09-11 19:25:40.213,1789165540.2132258,-975,20,-30
2026-09-11 19:25:40.233,1789165540.2332258,-973,16,-29
2026-09-11 19:25:40.253,1789165540.2532258,-973,19,-39
2026-09-11 19:25:40.273,1789165540.2732258,-972,20,-42
2026-09-11 19:25:40.293,1789165540.2932258,-974,18,-31
2026-09-11 19:25:40.313,1789165540.3132257,-985,16,-42
2026-09-11 19:25:40.333,1789165540.3332257,-981,18,-47
2026-09-11 19:25:40.353,1789165540.3532257,-979,22,-54
2026-09-11 19:25:40.373,1789165540.3732257,-980,27,-58
2026-09-11 19:25:40.393,1789165540.3932257,-977,29,-50
2026-09-11 19:25:40.413,1789165540.4132257,-978,27,-53
2026-09-11 19:25:40.433,1789165540.4332256,-977,26,-51
2026-09-11 19:25:40.453,1789165540.4532256,-975,25,-44
2026-09-11 19:25:40.473,1789165540.4732258,-978,27,-61
2026-09-11 19:25:40.493,1789165540.4932258,-979,26,-72
2026-09-11 19:25:40.513,1789165540.5132258,-962,23,-23
2026-09-11 19:25:40.533,1789165540.5332258,-980,24,-29
2026-09-11 19:25:40.540,1789165540.5403888,-984,30,-82
2026-09-11 19:25:40.560,1789165540.5603888,-963,27,-57
2026-09-11 19:25:40.580,1789165540.5803888,-986,26,-33
2026-09-11 19:25:40.600,1789165540.6003888,-992,26,-42
2026-09-11 19:25:40.620,1789165540.6203887,-983,23,-39
2026-09-11 19:25:40.640,1789165540.6403887,-978,25,-41
2026-09-11 19:25:40.660,1789165540.6603887,-972,25,-42
2026-09-11 19:25:40.680,1789165540.680389,-977,25,-36
2026-09-11 19:25:40.700,1789165540.700389,-976,24,-41
2026-09-11 19:25:40.720,1789165540.720389,-972,28,-33
2026-09-11 19:25:40.740,1789165540.7403889,-977,28,-38
2026-09-11 19:25:40.760,1789165540.7603889,-972,27,-23
2026-09-11 19:25:40.780,1789165540.7803888,-975,35,-55
2026-09-11 19:25:40.800,1789165540.8003888,-969,28,-46
2026-09-11 19:25:40.820,1789165540.8203888,-976,32,-33
2026-09-11 19:25:40.840,1789165540.8403888,-986,29,-36
2026-09-11 19:25:40.860,1789165540.8603888,-978,27,-30
2026-09-11 19:25:40.880,1789165540.8803887,-976,26,-40
2026-09-11 19:25:40.900,1789165540.9003887,-977,27,-46
2026-09-11 19:25:40.920,1789165540.920389,-973,27,-33
2026-09-11 19:25:40.940,1789165540.940389,-975,27,-32
2026-09-11 19:25:40.960,1789165540.960389,-973,25,-28
2026-09-11 19:25:40.980,1789165540.9803889,-973,27,-35
2026-09-11 19:25:41.000,1789165541.0003889,-976,38,-46
2026-09-11 19:25:41.020,1789165541.0203888,-965,40,-31
2026-09-11 19:25:41.040,1789165541.0403888,-972,34,-22
2026-09-11 19:25:41.060,1789165541.0603888,-965,30,-5
2026-09-11 19:25:41.080,1789165541.0803888,-967,28,-38
2026-09-11 19:25:41.100,1789165541.1003888,-962,34,-70
2026-09-11 19:25:41.120,1789165541.1203887,-944,30,-16
2026-09-11 19:25:41.140,1789165541.1403887,-979,28,-35
2026-09-11 19:25:41.160,1789165541.1603887,-969,32,-67
2026-09-11 19:25:41.180,1789165541.180389,-958,34,-29
2026-09-11 19:25:41.200,1789165541.200389,-986,31,-21
2026-09-11 19:25:41.220,1789165541.220389,-988,27,-36
2026-09-11 19:25:41.240,1789165541.2403889,-975,27,-30
2026-09-11 19:25:41.247,1789165541.2478266,-972,27,-33
2026-09-11 19:25:41.267,1789165541.2678266,-971,31,-31
2026-09-11 19:25:41.287,1789165541.2878265,-978,32,-34
2026-09-11 19:25:41.307,1789165541.3078265,-978,31,-26
2026-09-11 19:25:41.327,1789165541.3278265,-978,31,-34
2026-09-11 19:25:41.347,1789165541.3478265,-976,27,-30
2026-09-11 19:25:41.367,1789165541.3678265,-974,29,-20
2026-09-11 19:25:41.387,1789165541.3878267,-976,33,-34
2026-09-11 19:25:41.407,1789165541.4078267,-975,27,-30
2026-09-11 19:25:41.427,1789165541.4278266,-980,31,-23
2026-09-11 19:25:41.447,1789165541.4478266,-980,34,-23
2026-09-11 19:25:41.467,1789165541.4678266,-977,31,-19
2026-09-11 19:25:41.487,1789165541.4878266,-979,35,-21
2026-09-11 19:25:41.507,1789165541.5078266,-979,31,-17
2026-09-11 19:25:41.527,1789165541.5278265,-977,29,-16
2026-09-11 19:25:41.547,1789165541.5478265,-976,26,-17
2026-09-11 19:25:41.567,1789165541.5678265,-975,26,-17
2026-09-11 19:25:41.587,1789165541.5878265,-975,28,-16
2026-09-11 19:25:41.607,1789165541.6078265,-975,28,-18
2026-09-11 19:25:41.627,1789165541.6278267,-978,26,-21
2026-09-11 19:25:41.647,1789165541.6478267,-977,25,-7
