timestamp_local,timestamp_epoch_s,ecg_uV
2026-09-13 19:54:33.890,1789340073.8903441,80
2026-09-13 19:54:33.898,1789340073.8980365,99
2026-09-13 19:54:33.905,1789340073.9057288,89
2026-09-13 19:54:33.913,1789340073.9134212,92
2026-09-13 19:54:33.921,1789340073.9211135,118
2026-09-13 19:54:33.928,1789340073.9288056,147
2026-09-13 19:54:33.936,1789340073.936498,177
2026-09-13 19:54:33.944,1789340073.9441903,203
2026-09-13 19:54:33.951,1789340073.9518826,240
2026-09-13 19:54:33.959,1789340073.959575,286
2026-09-13 19:54:33.967,1789340073.9672673,317
2026-09-13 19:54:33.974,1789340073.9749596,339
2026-09-13 19:54:33.982,1789340073.982652,344
2026-09-13 19:54:33.990,1789340073.990344,317
2026-09-13 19:54:33.998,1789340073.9980364,283
2026-09-13 19:54:34.005,1789340074.0057287,225
2026-09-13 19:54:34.013,1789340074.013421,128
2026-09-13 19:54:34.021,1789340074.0211134,48
2026-09-13 19:54:34.028,1789340074.0288057,2
2026-09-13 19:54:34.036,1789340074.036498,-43
2026-09-13 19:54:34.044,1789340074.0441904,-84
2026-09-13 19:54:34.051,1789340074.0518825,-106
2026-09-13 19:54:34.059,1789340074.0595748,-121
2026-09-13 19:54:34.067,1789340074.0672672,-128
2026-09-13 19:54:34.074,1789340074.0749595,-123
2026-09-13 19:54:34.082,1789340074.0826519,-118
2026-09-13 19:54:34.090,1789340074.0903442,-106
2026-09-13 19:54:34.098,1789340074.0980365,-92
2026-09-13 19:54:34.105,1789340074.1057289,-94
2026-09-13 19:54:34.113,1789340074.113421,-97
2026-09-13 19:54:34.121,1789340074.1211133,-70
2026-09-13 19:54:34.128,1789340074.1288056,-58
2026-09-13 19:54:34.136,1789340074.136498,-77
2026-09-13 19:54:34.144,1789340074.1441903,-75
2026-09-13 19:54:34.151,1789340074.1518826,-41
2026-09-13 19:54:34.159,1789340074.159575,-43
2026-09-13 19:54:34.167,1789340074.1672673,-58
2026-09-13 19:54:34.174,1789340074.1749594,-26
2026-09-13 19:54:34.182,1789340074.1826518,-2
2026-09-13 19:54:34.190,1789340074.190344,-26
2026-09-13 19:54:34.198,1789340074.1980364,-46
2026-09-13 19:54:34.205,1789340074.2057288,-43
2026-09-13 19:54:34.213,1789340074.213421,-26
2026-09-13 19:54:34.221,1789340074.2211134,-14
2026-09-13 19:54:34.228,1789340074.2288058,-9
2026-09-13 19:54:34.236,1789340074.2364979,-21
2026-09-13 19:54:34.244,1789340074.2441902,-36
2026-09-13 19:54:34.251,1789340074.2518826,-24
2026-09-13 19:54:34.259,1789340074.259575,-4
2026-09-13 19:54:34.267,1789340074.2672672,-4
2026-09-13 19:54:34.274,1789340074.2749596,-14
2026-09-13 19:54:34.282,1789340074.282652,-19
2026-09-13 19:54:34.290,1789340074.2903442,-19
2026-09-13 19:54:34.298,1789340074.2980363,-26
2026-09-13 19:54:34.305,1789340074.3057287,-26
2026-09-13 19:54:34.313,1789340074.313421,-16
2026-09-13 19:54:34.321,1789340074.3211133,-4
2026-09-13 19:54:34.328,1789340074.3288057,16
2026-09-13 19:54:34.336,1789340074.336498,36
2026-09-13 19:54:34.344,1789340074.3441904,46
2026-09-13 19:54:34.351,1789340074.3518827,65
2026-09-13 19:54:34.359,1789340074.3595748,65
2026-09-13 19:54:34.367,1789340074.3672671,41
2026-09-13 19:54:34.374,1789340074.3749595,21
2026-09-13 19:54:34.382,1789340074.3826518,14
2026-09-13 19:54:34.390,1789340074.3903441,-2
2026-09-13 19:54:34.398,1789340074.3980365,-4
2026-09-13 19:54:34.405,1789340074.4057288,4
2026-09-13 19:54:34.413,1789340074.4134212,7
2026-09-13 19:54:34.421,1789340074.4211135,2
2026-09-13 19:54:34.428,1789340074.4288056,0
2026-09-13 19:54:34.436,1789340074.436498,2
2026-09-13 19:54:34.444,1789340074.4441903,12
2026-09-13 19:54:34.451,1789340074.4513514,24
2026-09-13 19:54:34.459,1789340074.4590437,16
2026-09-13 19:54:34.466,1789340074.466736,16
2026-09-13 19:54:34.474,1789340074.4744284,133
2026-09-13 19:54:34.482,1789340074.4821208,460
2026-09-13 19:54:34.489,1789340074.4898129,936
2026-09-13 19:54:34.497,1789340074.4975052,1263
2026-09-13 19:54:34.505,1789340074.5051975,904
2026-09-13 19:54:34.512,1789340074.5128899,-33
2026-09-13 19:54:34.520,1789340074.5205822,-434
2026-09-13 19:54:34.528,1789340074.5282745,-99
2026-09-13 19:54:34.535,1789340074.5359669,26
2026-09-13 19:54:34.543,1789340074.5436592,-113
2026-09-13 19:54:34.551,1789340074.5513513,-82
2026-09-13 19:54:34.559,1789340074.5590436,-16
2026-09-13 19:54:34.566,1789340074.566736,-21
2026-09-13 19:54:34.574,1789340074.5744283,7
2026-09-13 19:54:34.582,1789340074.5821207,26
2026-09-13 19:54:34.589,1789340074.589813,2
2026-09-13 19:54:34.597,1789340074.5975053,9
2026-09-13 19:54:34.605,1789340074.6051977,33
2026-09-13 19:54:34.612,1789340074.6128898,43
2026-09-13 19:54:34.620,1789340074.620582,53
2026-09-13 19:54:34.628,1789340074.6282744,65
2026-09-13 19:54:34.635,1789340074.6359668,70
2026-09-13 19:54:34.643,1789340074.643659,70
2026-09-13 19:54:34.651,1789340074.6513515,77
2026-09-13 19:54:34.659,1789340074.6590438,89
2026-09-13 19:54:34.666,1789340074.6667361,111
2026-09-13 19:54:34.674,1789340074.6744282,143
2026-09-13 19:54:34.682,1789340074.6821206,164
2026-09-13 19:54:34.689,1789340074.689813,177
2026-09-13 19:54:34.697,1789340074.6975052,208
2026-09-13 19:54:34.705,1789340074.7051976,249
2026-09-13 19:54:34.712,1789340074.71289,286
2026-09-13 19:54:34.720,1789340074.7205822,310
2026-09-13 19:54:34.728,1789340074.7282746,324
2026-09-13 19:54:34.735,1789340074.7359667,334
2026-09-13 19:54:34.743,1789340074.743659,329
2026-09-13 19:54:34.751,1789340074.7513514,288
2026-09-13 19:54:34.759,1789340074.7590437,215
2026-09-13 19:54:34.766,1789340074.766736,140
2026-09-13 19:54:34.774,1789340074.7744284,75
2026-09-13 19:54:34.782,1789340074.7821207,12
2026-09-13 19:54:34.789,1789340074.789813,-43
2026-09-13 19:54:34.797,1789340074.7975051,-65
2026-09-13 19:54:34.805,1789340074.8051975,-67
2026-09-13 19:54:34.812,1789340074.8128898,-72
2026-09-13 19:54:34.820,1789340074.8205822,-75
2026-09-13 19:54:34.828,1789340074.8282745,-70
2026-09-13 19:54:34.835,1789340074.8359668,-67
2026-09-13 19:54:34.843,1789340074.8436592,-65
2026-09-13 19:54:34.851,1789340074.8513515,-55
2026-09-13 19:54:34.859,1789340074.8590436,-48
2026-09-13 19:54:34.866,1789340074.866736,-43
2026-09-13 19:54:34.874,1789340074.8744283,-38
2026-09-13 19:54:34.882,1789340074.8821206,-36
2026-09-13 19:54:34.889,1789340074.889813,-26
2026-09-13 19:54:34.897,1789340074.8975053,-16
2026-09-13 19:54:34.905,1789340074.9051976,-19
2026-09-13 19:54:34.912,1789340074.91289,-4
2026-09-13 19:54:34.920,1789340074.920582,33
2026-09-13 19:54:34.928,1789340074.9282744,36
2026-09-13 19:54:34.935,1789340074.9359667,9
2026-09-13 19:54:34.943,1789340074.943659,14
2026-09-13 19:54:34.951,1789340074.9513514,26
2026-09-13 19:54:34.959,1789340074.9590437,19
2026-09-13 19:54:34.966,1789340074.966736,19
2026-09-13 19:54:34.974,1789340074.9744284,21
2026-09-13 19:54:34.982,1789340074.9821208,21
2026-09-13 19:54:34.989,1789340074.9898129,36
2026-09-13 19:54:34.997,1789340074.9975052,38
2026-09-13 19:54:35.005,1789340075.0051975,24
2026-09-13 19:54:35.012,1789340075.012359,29
2026-09-13 19:54:35.020,1789340075.0200512,36
2026-09-13 19:54:35.027,1789340075.0277436,26
2026-09-13 19:54:35.035,1789340075.035436,29
2026-09-13 19:54:35.043,1789340075.0431283,41
2026-09-13 19:54:35.050,1789340075.0508204,41
2026-09-13 19:54:35.058,1789340075.0585127,38
2026-09-13 19:54:35.066,1789340075.066205,33
2026-09-13 19:54:35.073,1789340075.0738974,29
2026-09-13 19:54:35.081,1789340075.0815897,29
2026-09-13 19:54:35.089,1789340075.089282,24
2026-09-13 19:54:35.096,1789340075.0969744,14
2026-09-13 19:54:35.104,1789340075.1046667,33
2026-09-13 19:54:35.112,1789340075.1123588,75
2026-09-13 19:54:35.120,1789340075.1200511,82
2026-09-13 19:54:35.127,1789340075.1277435,70
2026-09-13 19:54:35.135,1789340075.1354358,80
2026-09-13 19:54:35.143,1789340075.1431282,92
2026-09-13 19:54:35.150,1789340075.1508205,84
2026-09-13 19:54:35.158,1789340075.1585128,77
2026-09-13 19:54:35.166,1789340075.1662052,65
2026-09-13 19:54:35.173,1789340075.1738973,41
2026-09-13 19:54:35.181,1789340075.1815896,29
2026-09-13 19:54:35.189,1789340075.189282,38
2026-09-13 19:54:35.196,1789340075.1969743,43
2026-09-13 19:54:35.204,1789340075.2046666,31
2026-09-13 19:54:35.212,1789340075.212359,26
2026-09-13 19:54:35.220,1789340075.2200513,38
2026-09-13 19:54:35.227,1789340075.2277436,46
2026-09-13 19:54:35.235,1789340075.2354357,38
2026-09-13 19:54:35.243,1789340075.243128,50
2026-09-13 19:54:35.250,1789340075.2508204,201
2026-09-13 19:54:35.258,1789340075.2585127,589
2026-09-13 19:54:35.266,1789340075.266205,1079
2026-09-13 19:54:35.273,1789340075.2738974,1268
2026-09-13 19:54:35.281,1789340075.2815897,749
2026-09-13 19:54:35.289,1789340075.289282,-63
2026-09-13 19:54:35.296,1789340075.2969742,-252
2026-09-13 19:54:35.304,1789340075.3046665,-7
2026-09-13 19:54:35.312,1789340075.3123589,-24
2026-09-13 19:54:35.320,1789340075.3200512,-126
2026-09-13 19:54:35.327,1789340075.3277435,-65
2026-09-13 19:54:35.335,1789340075.3354359,-43
2026-09-13 19:54:35.343,1789340075.3431282,-72
2026-09-13 19:54:35.350,1789340075.3508205,-53
2026-09-13 19:54:35.358,1789340075.3585126,-31
2026-09-13 19:54:35.366,1789340075.366205,-33
2026-09-13 19:54:35.373,1789340075.3738973,-31
2026-09-13 19:54:35.381,1789340075.3815897,-24
2026-09-13 19:54:35.389,1789340075.389282,-14
2026-09-13 19:54:35.396,1789340075.3969743,-4
2026-09-13 19:54:35.404,1789340075.4046667,0
2026-09-13 19:54:35.412,1789340075.412359,7
2026-09-13 19:54:35.420,1789340075.420051,14
2026-09-13 19:54:35.427,1789340075.4277434,21
2026-09-13 19:54:35.435,1789340075.4354358,38
2026-09-13 19:54:35.443,1789340075.443128,55
2026-09-13 19:54:35.450,1789340075.4508204,60
2026-09-13 19:54:35.458,1789340075.4585128,67
2026-09-13 19:54:35.466,1789340075.4662051,97
2026-09-13 19:54:35.473,1789340075.4738975,126
2026-09-13 19:54:35.481,1789340075.4815896,143
2026-09-13 19:54:35.489,1789340075.489282,174
2026-09-13 19:54:35.496,1789340075.4969742,208
2026-09-13 19:54:35.504,1789340075.5046666,220
2026-09-13 19:54:35.512,1789340075.512359,225
2026-09-13 19:54:35.520,1789340075.5200512,225
2026-09-13 19:54:35.527,1789340075.5277436,196
2026-09-13 19:54:35.535,1789340075.535436,133
2026-09-13 19:54:35.543,1789340075.5431283,63
2026-09-13 19:54:35.550,1789340075.5508204,9
2026-09-13 19:54:35.558,1789340075.5585127,-24
2026-09-13 19:54:35.566,1789340075.566205,-43
2026-09-13 19:54:35.573,1789340075.5733662,-70
2026-09-13 19:54:35.581,1789340075.5810585,-87
2026-09-13 19:54:35.588,1789340075.5887508,-87
2026-09-13 19:54:35.596,1789340075.5964432,-80
2026-09-13 19:54:35.604,1789340075.6041355,-89
2026-09-13 19:54:35.611,1789340075.6118276,-92
2026-09-13 19:54:35.619,1789340075.61952,-77
2026-09-13 19:54:35.627,1789340075.6272123,-77
2026-09-13 19:54:35.634,1789340075.6349046,-80
2026-09-13 19:54:35.642,1789340075.642597,-65
2026-09-13 19:54:35.650,1789340075.6502893,-43
2026-09-13 19:54:35.657,1789340075.6579816,-33
2026-09-13 19:54:35.665,1789340075.665674,-33
2026-09-13 19:54:35.673,1789340075.673366,-38
2026-09-13 19:54:35.681,1789340075.6810584,-33
2026-09-13 19:54:35.688,1789340075.6887507,-24
2026-09-13 19:54:35.696,1789340075.696443,-24
2026-09-13 19:54:35.704,1789340075.7041354,-24
2026-09-13 19:54:35.711,1789340075.7118278,-19
2026-09-13 19:54:35.719,1789340075.71952,-19
2026-09-13 19:54:35.727,1789340075.7272124,-19
2026-09-13 19:54:35.734,1789340075.7349045,-21
2026-09-13 19:54:35.742,1789340075.7425969,-19
2026-09-13 19:54:35.750,1789340075.7502892,-12
2026-09-13 19:54:35.757,1789340075.7579815,-12
2026-09-13 19:54:35.765,1789340075.7656739,-14
2026-09-13 19:54:35.773,1789340075.7733662,-12
2026-09-13 19:54:35.781,1789340075.7810585,-9
2026-09-13 19:54:35.788,1789340075.788751,-9
2026-09-13 19:54:35.796,1789340075.796443,-2
2026-09-13 19:54:35.804,1789340075.8041353,7
2026-09-13 19:54:35.811,1789340075.8118277,-2
2026-09-13 19:54:35.819,1789340075.81952,-9
2026-09-13 19:54:35.827,1789340075.8272123,2
2026-09-13 19:54:35.834,1789340075.8349047,9
2026-09-13 19:54:35.842,1789340075.842597,4
2026-09-13 19:54:35.850,1789340075.8502893,4
2026-09-13 19:54:35.857,1789340075.8579814,7
2026-09-13 19:54:35.865,1789340075.8656738,7
2026-09-13 19:54:35.873,1789340075.873366,7
2026-09-13 19:54:35.881,1789340075.8810585,4
2026-09-13 19:54:35.888,1789340075.8887508,-4
2026-09-13 19:54:35.896,1789340075.8964431,0
2026-09-13 19:54:35.904,1789340075.9041355,19
2026-09-13 19:54:35.911,1789340075.9118278,38
2026-09-13 19:54:35.919,1789340075.91952,58
2026-09-13 19:54:35.927,1789340075.9272122,70
2026-09-13 19:54:35.934,1789340075.9349046,53
2026-09-13 19:54:35.942,1789340075.942597,48
2026-09-13 19:54:35.950,1789340075.9502892,67
2026-09-13 19:54:35.957,1789340075.9579816,67
2026-09-13 19:54:35.965,1789340075.965674,36
2026-09-13 19:54:35.973,1789340075.9733663,16
2026-09-13 19:54:35.981,1789340075.9810584,19
2026-09-13 19:54:35.988,1789340075.9887507,16
2026-09-13 19:54:35.996,1789340075.996443,7
2026-09-13 19:54:36.004,1789340076.0041354,12
2026-09-13 19:54:36.011,1789340076.0118277,21
2026-09-13 19:54:36.019,1789340076.01952,14
2026-09-13 19:54:36.027,1789340076.0272124,12
2026-09-13 19:54:36.034,1789340076.0349047,14
2026-09-13 19:54:36.042,1789340076.0425968,9
2026-09-13 19:54:36.050,1789340076.0502892,82
2026-09-13 19:54:36.057,1789340076.0579815,358
2026-09-13 19:54:36.065,1789340076.0656738,795
2026-09-13 19:54:36.073,1789340076.0733662,1178
2026-09-13 19:54:36.081,1789340076.0810585,1037
2026-09-13 19:54:36.088,1789340076.0887508,240
2026-09-13 19:54:36.096,1789340076.0964432,-293
2026-09-13 19:54:36.104,1789340076.1041355,-111
2026-09-13 19:54:36.111,1789340076.1118276,19
2026-09-13 19:54:36.119,1789340076.11952,-111
2026-09-13 19:54:36.127,1789340076.1272123,-101
2026-09-13 19:54:36.134,1789340076.1343732,-29
2026-09-13 19:54:36.142,1789340076.1420655,-41
2026-09-13 19:54:36.149,1789340076.1497579,-46
2026-09-13 19:54:36.157,1789340076.1574502,-29
2026-09-13 19:54:36.165,1789340076.1651425,-19
2026-09-13 19:54:36.172,1789340076.1728346,2
2026-09-13 19:54:36.180,1789340076.180527,16
2026-09-13 19:54:36.188,1789340076.1882193,14
2026-09-13 19:54:36.195,1789340076.1959116,16
2026-09-13 19:54:36.203,1789340076.203604,21
2026-09-13 19:54:36.211,1789340076.2112963,16
2026-09-13 19:54:36.218,1789340076.2189887,19
2026-09-13 19:54:36.226,1789340076.226681,41
2026-09-13 19:54:36.234,1789340076.234373,67
2026-09-13 19:54:36.242,1789340076.2420654,89
2026-09-13 19:54:36.249,1789340076.2497578,104
2026-09-13 19:54:36.257,1789340076.25745,123
2026-09-13 19:54:36.265,1789340076.2651424,140
2026-09-13 19:54:36.272,1789340076.2728348,162
2026-09-13 19:54:36.280,1789340076.280527,196
2026-09-13 19:54:36.288,1789340076.2882195,235
2026-09-13 19:54:36.295,1789340076.2959116,269
2026-09-13 19:54:36.303,1789340076.303604,286
2026-09-13 19:54:36.311,1789340076.3112962,286
2026-09-13 19:54:36.318,1789340076.3189886,286
2026-09-13 19:54:36.326,1789340076.326681,288
2026-09-13 19:54:36.334,1789340076.3343732,242
2026-09-13 19:54:36.342,1789340076.3420656,152
2026-09-13 19:54:36.349,1789340076.349758,97
2026-09-13 19:54:36.357,1789340076.35745,60
2026-09-13 19:54:36.365,1789340076.3651423,21
2026-09-13 19:54:36.372,1789340076.3728347,9
2026-09-13 19:54:36.380,1789340076.380527,0
2026-09-13 19:54:36.388,1789340076.3882194,-19
2026-09-13 19:54:36.395,1789340076.3959117,-19
2026-09-13 19:54:36.403,1789340076.403604,-12
2026-09-13 19:54:36.411,1789340076.4112964,-14
2026-09-13 19:54:36.418,1789340076.4189885,-19
2026-09-13 19:54:36.426,1789340076.4266808,-14
2026-09-13 19:54:36.434,1789340076.4343731,2
2026-09-13 19:54:36.442,1789340076.4420655,21
2026-09-13 19:54:36.449,1789340076.4497578,19
2026-09-13 19:54:36.457,1789340076.4574502,26
2026-09-13 19:54:36.465,1789340076.4651425,48
2026-09-13 19:54:36.472,1789340076.4728348,41
2026-09-13 19:54:36.480,1789340076.480527,21
2026-09-13 19:54:36.488,1789340076.4882193,31
2026-09-13 19:54:36.495,1789340076.4959116,55
2026-09-13 19:54:36.503,1789340076.503604,63
2026-09-13 19:54:36.511,1789340076.5112963,50
2026-09-13 19:54:36.518,1789340076.5189886,50
2026-09-13 19:54:36.526,1789340076.526681,60
2026-09-13 19:54:36.534,1789340076.5343733,60
2026-09-13 19:54:36.542,1789340076.5420654,58
2026-09-13 19:54:36.549,1789340076.5497577,60
2026-09-13 19:54:36.557,1789340076.55745,65
2026-09-13 19:54:36.565,1789340076.5651424,70
2026-09-13 19:54:36.572,1789340076.5728347,75
2026-09-13 19:54:36.580,1789340076.580527,77
2026-09-13 19:54:36.588,1789340076.5882194,80
2026-09-13 19:54:36.595,1789340076.5959117,77
2026-09-13 19:54:36.603,1789340076.6036038,80
2026-09-13 19:54:36.611,1789340076.6112962,77
2026-09-13 19:54:36.618,1789340076.6189885,70
2026-09-13 19:54:36.626,1789340076.6266809,72
2026-09-13 19:54:36.634,1789340076.6343732,77
2026-09-13 19:54:36.642,1789340076.6420655,80
2026-09-13 19:54:36.649,1789340076.6497579,87
2026-09-13 19:54:36.657,1789340076.6574502,82
2026-09-13 19:54:36.665,1789340076.6651425,72
2026-09-13 19:54:36.672,1789340076.6728346,84
2026-09-13 19:54:36.680,1789340076.680527,92
2026-09-13 19:54:36.688,1789340076.6882193,87
2026-09-13 19:54:36.695,1789340076.6953807,101
2026-09-13 19:54:36.703,1789340076.703073,118
2026-09-13 19:54:36.710,1789340076.7107654,133
2026-09-13 19:54:36.718,1789340076.7184577,145
2026-09-13 19:54:36.726,1789340076.72615,138
2026-09-13 19:54:36.733,1789340076.7338421,118
2026-09-13 19:54:36.741,1789340076.7415345,113
2026-09-13 19:54:36.749,1789340076.7492268,109
2026-09-13 19:54:36.756,1789340076.7569191,77
2026-09-13 19:54:36.764,1789340076.7646115,70
2026-09-13 19:54:36.772,1789340076.7723038,92
2026-09-13 19:54:36.779,1789340076.7799962,89
2026-09-13 19:54:36.787,1789340076.7876885,67
2026-09-13 19:54:36.795,1789340076.7953806,72
2026-09-13 19:54:36.803,1789340076.803073,84
2026-09-13 19:54:36.810,1789340076.8107653,82
2026-09-13 19:54:36.818,1789340076.8184576,87
2026-09-13 19:54:36.826,1789340076.82615,92
2026-09-13 19:54:36.833,1789340076.8338423,77
2026-09-13 19:54:36.841,1789340076.8415346,155
2026-09-13 19:54:36.849,1789340076.849227,477
2026-09-13 19:54:36.856,1789340076.856919,945
2026-09-13 19:54:36.864,1789340076.8646114,1224
2026-09-13 19:54:36.872,1789340076.8723037,860
2026-09-13 19:54:36.879,1789340076.879996,-29
2026-09-13 19:54:36.887,1789340076.8876884,-392
2026-09-13 19:54:36.895,1789340076.8953807,-50
2026-09-13 19:54:36.903,1789340076.903073,65
2026-09-13 19:54:36.910,1789340076.9107654,-63
2026-09-13 19:54:36.918,1789340076.9184575,0
2026-09-13 19:54:36.926,1789340076.9261498,63
2026-09-13 19:54:36.933,1789340076.9338422,12
2026-09-13 19:54:36.941,1789340076.9415345,19
2026-09-13 19:54:36.949,1789340076.9492269,63
2026-09-13 19:54:36.956,1789340076.9569192,60
2026-09-13 19:54:36.964,1789340076.9646115,46
2026-09-13 19:54:36.972,1789340076.9723039,58
2026-09-13 19:54:36.979,1789340076.979996,77
2026-09-13 19:54:36.987,1789340076.9876883,84
2026-09-13 19:54:36.995,1789340076.9953806,104
2026-09-13 19:54:37.003,1789340077.003073,138
2026-09-13 19:54:37.010,1789340077.0107653,140
2026-09-13 19:54:37.018,1789340077.0184577,126
2026-09-13 19:54:37.026,1789340077.02615,138
2026-09-13 19:54:37.033,1789340077.0338423,164
2026-09-13 19:54:37.041,1789340077.0415344,174
2026-09-13 19:54:37.049,1789340077.0492268,181
2026-09-13 19:54:37.056,1789340077.056919,227
2026-09-13 19:54:37.064,1789340077.0646114,293
2026-09-13 19:54:37.072,1789340077.0723038,329
2026-09-13 19:54:37.079,1789340077.079996,341
2026-09-13 19:54:37.087,1789340077.0876884,363
2026-09-13 19:54:37.095,1789340077.0953808,388
2026-09-13 19:54:37.103,1789340077.103073,388
2026-09-13 19:54:37.110,1789340077.1107652,358
2026-09-13 19:54:37.118,1789340077.1184576,312
2026-09-13 19:54:37.126,1789340077.12615,237
2026-09-13 19:54:37.133,1789340077.1338422,138
2026-09-13 19:54:37.141,1789340077.1415346,48
2026-09-13 19:54:37.149,1789340077.149227,-7
2026-09-13 19:54:37.156,1789340077.1569192,-43
2026-09-13 19:54:37.164,1789340077.1646113,-67
2026-09-13 19:54:37.172,1789340077.1723037,-82
2026-09-13 19:54:37.179,1789340077.179996,-97
2026-09-13 19:54:37.187,1789340077.1876884,-111
2026-09-13 19:54:37.195,1789340077.1953807,-104
2026-09-13 19:54:37.203,1789340077.203073,-92
2026-09-13 19:54:37.210,1789340077.2107654,-77
2026-09-13 19:54:37.218,1789340077.2184577,-60
2026-09-13 19:54:37.226,1789340077.22615,-63
2026-09-13 19:54:37.233,1789340077.2338421,-75
2026-09-13 19:54:37.241,1789340077.2415345,-60
2026-09-13 19:54:37.249,1789340077.2492268,-33
2026-09-13 19:54:37.256,1789340077.256383,-26
2026-09-13 19:54:37.264,1789340077.2640753,-26
2026-09-13 19:54:37.271,1789340077.2717676,-24
2026-09-13 19:54:37.279,1789340077.27946,-21
2026-09-13 19:54:37.287,1789340077.2871523,-9
2026-09-13 19:54:37.294,1789340077.2948444,-4
2026-09-13 19:54:37.302,1789340077.3025367,-9
2026-09-13 19:54:37.310,1789340077.310229,-2
2026-09-13 19:54:37.317,1789340077.3179214,2
2026-09-13 19:54:37.325,1789340077.3256137,-12
2026-09-13 19:54:37.333,1789340077.333306,-21
2026-09-13 19:54:37.340,1789340077.3409984,-7
2026-09-13 19:54:37.348,1789340077.3486907,9
2026-09-13 19:54:37.356,1789340077.3563828,7
2026-09-13 19:54:37.364,1789340077.3640752,-4
2026-09-13 19:54:37.371,1789340077.3717675,-4
2026-09-13 19:54:37.379,1789340077.3794599,7
2026-09-13 19:54:37.387,1789340077.3871522,7
2026-09-13 19:54:37.394,1789340077.3948445,12
